### Vital Signs Units of Measurement
# prEN ISO 11073-10101 (Nov 2003)
# ISO/IEEE 11073-10101:2004
# Health Informatics - Point-of-care medical device communications - Part 10101: Nomenclature
# p.62-75. Table A.6.3: Vital signs units of measurements
#
# CEN/TC251/PT40 2001
# File Exchange Format for Vital Signs - Annex A
#
# Copyright (C) 2005,2006,2008,2012,2016 Alois Schloegl <alois.schloegl@ist.ac.at>
# This file is part of the biosig project http://biosig.sf.net/
#
# In some cases, there are more than one text representation for a certain code.
# The text-to-binary conversion should accept all listed representations;
# the binary-to-text conversion should return the first representation.
#"Code (base code)","Symbol  (not normative)","Dimension","Unit of Measurement"
9376,"arb.u m-2","","arbitrary units per square meter
9408,"arb.u kg-1 s-1","","arbitrary units per kilogram per second"
9440,"arb.u kg-1 min-1","","arbitrary units per kilogram per minute"
9472,"arb.u kg-1 h-1","","arbitrary units per kilogram per hour"
9504,"arb.u kg-1 d-1","","arbitrary units per kilogram per day"
9536,"arb.u lb-1 min-1","","arbitrary units per pound per minute"
10432,"arb.u lb-1 h-1","","arbitrary units per pound per hour"
9568,"arb.u lb-1 d-1","","arbitrary units per pound per day"
9600,"arb.u m-2 s-1","","arbitrary units per square meter per second"
9632,"arb.u m-2 min-1","","arbitrary units per square meter per minute"
9664,"arb.u m-2 h-1","","arbitrary units per square meter per hour"
9696,"arb.u m-2 d-1","","arbitrary units per square meter per day"
# USP units
9728,"USP.u","","USP units"
9760,"USP.u cm-3","","USP units per cubic centimeter"
9792,"USP.u m-3","","USP units per cubic meter"
9824,"USP.u l-1","","USP units per liter"
9856,"USP.u ml-1","","USP units per milliliter"
9888,"USP.u s-1","","USP units per second"
9920,"USP.u min-1","","USP units per minute"
9952,"USP.u h-1","","USP units per hour"
9984,"USP.u d-1","","USP units per day"
10016,"USP.u kg-1","","USP units per kilogram"
10048,"USP.u m-2","","USP units per square meter
10080,"USP.u kg-1 s-1","","USP units per kilogram per second"
10112,"USP.u kg-1 min-1","","USP units per kilogram per minute"
10144,"USP.u kg-1 h-1","","USP units per kilogram per hour"
10176,"USP.u kg-1 d-1","","USP units per kilogram per day"
10208,"USP.u lb-1 min-1","","USP units per pound per minute"
10464,"USP.u lb-1 h-1","","USP units per pound per hour"
10240,"USP.u lb-1 d-1","","USP units per pound per day"
10272,"USP.u m-2 s-1","","USP units per square meter per second"
10304,"USP.u m-2 min-1","","USP units per square meter per minute"
10336,"USP.u m-2 h-1","","USP units per square meter per hour"
10368,"USP.u m-2 d-1","","USP units per square meter per day"
#
10560,"vol % L-1","","volume percent per liter"
10592,"Pa L-1","elastance","Pascal per liter"
10624,"Pa mL-1","elastance","Pascal per milliliter"
10656,"bar L-1","elastance","Bar per liter"
10688,"bar L-1 10-1","elastance","Bar per 10 liter "
10720,"bar mL-1","elastance","Bar per milliliter"
10752,"bar s L-1","resistance","Bar second per liter"
10784,"bar s L-1 10-1","resistance","Bar second per 10 liter "
10816,"L hPa-1","compliance","Liter per hectoPascal"
10848,"L bar-1","compliance","Liter per bar"
10880,"L mbar-1","compliance","Liter per millibar"
10912,"J/L/s","work of breating per liter per time unit","Joule per liter per second"
10944,"mmHg min-1","rate of pressure change","millimeter mercury per minute"
10976,"mmHg s-1","rate of pressure change","millimeter mercury per second"
11008,"bar s-1","rate of pressure change","bar per second"
11040,"cmH2O min-1","rate of pressure change","centimeter water per minute"
11072,"% per 1/2 h","relative rate of change","percent per half hour"
11104,"L beat-1 m-2","cardiac stroke per body surface area","liter per beat per square meter"
11136,"V cm-1","electric field strength","Volt per centimeter"
11168,"W cm-2 mm-1","irradiance","Watt per square centimeter per millimeter"
11200,"cmH2O uV-1","pressure of voltage calibration","centimeter water per microvolt"
### private: units with no standardized code
#,"kgf m [J]",,Left Stroke Work (LSW)
#,"kgf m min-1 [W]",,Left Cardiac Work (LCW)
65088,"mph","velocity","velocity miles per hour"
65120,"Nm","momentum","newton meter"
65152,"V/s",,"",,#obsolete#
65184,"m/m",,""
65216,"km/h",,"velocity kilometer per hour"
65248,"g s-2 [J m-2, gf m-1]",,"Left Stroke Work Index (LSWI)"
65280,"g s-3 [W m-2, gf m-1 s-1]",,"Indexed Left Cardiac Work (LCWI)"
65312,"mHg s-1","","",#obsolete#
65344,"mol l-1 mm","change in blood chromophore concentration per effective optical path length","milli(Mol/Liter)*millimeter"
65376,"r.p.m",,"rotations per minute",#obsolete#
65408,"B", "Bel", "relative power decibel",#obsolete#
65440,"dyne s m2 cm-5","Vascular Resistance Index","dyne seconds square meter per centimetre to the power of 5",#obsolete#
65440,"dyne*s*m²/cm^5","Vascular Resistance Index","dyne seconds square meter per centimetre to the power of 5",#obsolete#
65472,"l m-2","stroke index","litres per square meter"
65472,"l/m²","stroke index","litres per square meter"
65504,"T",,"<magnitude> Tesla",#obsolete#
#
#
